CustomerID,SalesOrderNumber,SalesAmount,OrderDate,,,,,,,,,,,,,
11564,SO47231,2049.0982,2/16/2012,,,,,,,,,,,,,
11331,SO53632,99.53,2/28/2013,,,,,,,,,,,,,
11751,SO54868,2430.96,3/22/2013,,,,,,,,,,,,,
27430,SO62709,33.43,7/24/2013,,,,,,,,,,,,,
23703,SO68215,34.98,10/12/2013,,,,,,,,,,,,,
27573,SO70583,2419.06,11/11/2013,,,,,,,,,,,,,
15657,SO46166,3578.27,11/5/2011,,,,,,,,,,,,,
13705,SO48181,2443.35,5/15/2012,,,,,,,,,,,,,
12500,SO65682,2403.96,9/4/2013,,,,,,,,,,,,,
13967,SO73502,1274.33,12/19/2013,,,,,,,,,,,,,
11467,SO74280,7.95,1/2/2014,,,,,,,,,,,,,
18736,SO54807,2457.33,3/21/2013,,,,,,,,,,,,,
17372,SO66254,1729.97,9/12/2013,,,,,,,,,,,,,
28336,SO64625,138.97,8/20/2013,,,,,,,,,,,,,
16456,SO65833,64.97,9/6/2013,,,,,,,,,,,,,
28061,SO69852,2428.05,11/1/2013,,,,,,,,,,,,,
27264,SO50520,2071.4196,11/16/2012,,,,,,,,,,,,,
28381,SO66347,92.96,9/14/2013,,,,,,,,,,,,,
16961,SO69704,2318.96,10/30/2013,,,,,,,,,,,,,
11468,SO51878,2319.99,1/28/2013,,,,,,,,,,,,,
11262,SO66099,127.95,9/10/2013,,,,,,,,,,,,,
11429,SO72122,588.96,12/1/2013,,,,,,,,,,,,,
28140,SO74101,39.98,12/28/2013,,,,,,,,,,,,,
28101,SO52542,78.98,2/10/2013,,,,,,,,,,,,,
14155,SO67778,2414.99,10/5/2013,,,,,,,,,,,,,
16988,SO72088,4.99,12/1/2013,,,,,,,,,,,,,
12942,SO56175,2319.99,4/13/2013,,,,,,,,,,,,,
14854,SO63005,63.97,7/29/2013,,,,,,,,,,,,,
11755,SO64388,8.99,8/17/2013,,,,,,,,,,,,,
20931,SO72587,2490.18,12/8/2013,,,,,,,,,,,,,
13736,SO73465,2297.28,12/19/2013,,,,,,,,,,,,,
20000,SO45719,3374.99,9/19/2011,,,,,,,,,,,,,
16319,SO54956,27.28,3/24/2013,,,,,,,,,,,,,
22730,SO65586,4.99,9/2/2013,,,,,,,,,,,,,
28067,SO43968,3578.27,2/8/2011,,,,,,,,,,,,,
29350,SO45443,3578.27,8/15/2011,,,,,,,,,,,,,
11840,SO57201,49.99,4/30/2013,,,,,,,,,,,,,
23217,SO61476,563.77,7/3/2013,,,,,,,,,,,,,
25712,SO71773,562.96,11/28/2013,,,,,,,,,,,,,
28193,SO73624,2438.06,12/21/2013,,,,,,,,,,,,,
12795,SO53790,37.27,3/3/2013,,,,,,,,,,,,,
20603,SO56605,23.78,4/22/2013,,,,,,,,,,,,,
17687,SO72374,39.98,12/5/2013,,,,,,,,,,,,,
12339,SO46807,2071.4196,1/13/2012,,,,,,,,,,,,,
21106,SO57435,1754.98,5/4/2013,,,,,,,,,,,,,
19586,SO45464,3578.27,8/20/2011,,,,,,,,,,,,,
20620,SO46534,3578.27,12/19/2011,,,,,,,,,,,,,
11570,SO54376,2319.99,3/14/2013,,,,,,,,,,,,,
15009,SO57935,36.96,5/13/2013,,,,,,,,,,,,,
26872,SO64413,23.78,8/17/2013,,,,,,,,,,,,,
19922,SO50933,782.99,12/13/2012,,,,,,,,,,,,,
23486,SO45926,3578.27,10/16/2011,,,,,,,,,,,,,
17494,SO58548,54.99,5/24/2013,,,,,,,,,,,,,
18901,SO60183,35,6/15/2013,,,,,,,,,,,,,
11627,SO65036,10.24,8/27/2013,,,,,,,,,,,,,
21558,SO65857,2475.95,9/6/2013,,,,,,,,,,,,,
27420,SO52498,69.99,2/9/2013,,,,,,,,,,,,,
22082,SO56183,574.98,4/13/2013,,,,,,,,,,,,,
17387,SO55195,37.27,3/29/2013,,,,,,,,,,,,,
21665,SO56596,553.97,4/21/2013,,,,,,,,,,,,,
29299,SO70247,548.98,11/6/2013,,,,,,,,,,,,,
25952,SO66143,1223.84,9/10/2013,,,,,,,,,,,,,
11219,SO69614,37.29,10/29/2013,,,,,,,,,,,,,
28401,SO44227,3374.99,3/21/2011,,,,,,,,,,,,,
15317,SO57716,54.98,5/9/2013,,,,,,,,,,,,,
27856,SO67140,578.46,9/26/2013,,,,,,,,,,,,,
20375,SO70142,2366.96,11/5/2013,,,,,,,,,,,,,
14941,SO45149,3578.27,7/14/2011,,,,,,,,,,,,,
27854,SO72165,750.3,12/2/2013,,,,,,,,,,,,,
16575,SO47807,2181.5625,4/10/2012,,,,,,,,,,,,,
19429,SO53342,1155.48,2/25/2013,,,,,,,,,,,,,
11581,SO54503,6.28,3/16/2013,,,,,,,,,,,,,
18932,SO58024,56.97,5/15/2013,,,,,,,,,,,,,
14641,SO68506,35,10/16/2013,,,,,,,,,,,,,
13102,SO55913,2386.94,4/8/2013,,,,,,,,,,,,,
15123,SO62879,31.27,7/27/2013,,,,,,,,,,,,,
24465,SO50770,2181.5625,11/28/2012,,,,,,,,,,,,,
27941,SO60805,15.23,6/24/2013,,,,,,,,,,,,,
14325,SO49784,2049.0982,9/24/2012,,,,,,,,,,,,,
26375,SO47770,782.99,4/4/2012,,,,,,,,,,,,,
17244,SO56546,53.99,4/21/2013,,,,,,,,,,,,,
11999,SO63483,2334.97,8/2/2013,,,,,,,,,,,,,
24408,SO71640,96.07,11/27/2013,,,,,,,,,,,,,
11784,SO73275,69.97,12/17/2013,,,,,,,,,,,,,
13146,SO58233,30.97,5/18/2013,,,,,,,,,,,,,
26992,SO62689,583.97,7/23/2013,,,,,,,,,,,,,
11034,SO70521,796.34,11/10/2013,,,,,,,,,,,,,
11448,SO51197,2318.96,12/29/2012,,,,,,,,,,,,,
24584,SO59583,30.48,6/6/2013,,,,,,,,,,,,,
26019,SO65939,1174.48,9/7/2013,,,,,,,,,,,,,
24139,SO70411,38.98,11/9/2013,,,,,,,,,,,,,
18494,SO45018,3578.27,6/28/2011,,,,,,,,,,,,,
17249,SO44195,3578.27,3/14/2011,,,,,,,,,,,,,
28233,SO58085,21.49,5/16/2013,,,,,,,,,,,,,
15164,SO62363,4.99,7/18/2013,,,,,,,,,,,,,
24850,SO65890,624.97,9/7/2013,,,,,,,,,,,,,
18256,SO66949,34.99,9/24/2013,,,,,,,,,,,,,
14800,SO45616,3578.27,9/3/2011,,,,,,,,,,,,,
21208,SO56913,39.98,4/28/2013,,,,,,,,,,,,,
15560,SO57811,4.99,5/11/2013,,,,,,,,,,,,,
27098,SO64479,68.97,8/18/2013,,,,,,,,,,,,,
19853,SO68176,119.98,10/11/2013,,,,,,,,,,,,,
15783,SO68957,63.97,10/23/2013,,,,,,,,,,,,,
23836,SO71206,599.47,11/20/2013,,,,,,,,,,,,,
16933,SO73140,39.98,12/15/2013,,,,,,,,,,,,,
28649,SO44707,3578.27,5/24/2011,,,,,,,,,,,,,
16935,SO61829,54.98,7/9/2013,,,,,,,,,,,,,
20624,SO65009,2443.35,8/26/2013,,,,,,,,,,,,,
15381,SO74492,4.99,1/8/2014,,,,,,,,,,,,,
15346,SO47774,782.99,4/5/2012,,,,,,,,,,,,,
26584,SO51935,33.98,1/29/2013,,,,,,,,,,,,,
24025,SO65391,578.46,8/29/2013,,,,,,,,,,,,,
23202,SO70041,32.28,11/4/2013,,,,,,,,,,,,,
12415,SO71318,74.98,11/22/2013,,,,,,,,,,,,,
24909,SO48262,1000.4375,5/26/2012,,,,,,,,,,,,,
16205,SO49687,2181.5625,9/12/2012,,,,,,,,,,,,,
15695,SO62097,2339.97,7/14/2013,,,,,,,,,,,,,
19614,SO45476,3578.27,8/22/2011,,,,,,,,,,,,,
13685,SO56485,2365.95,4/20/2013,,,,,,,,,,,,,
14907,SO65418,127.28,8/30/2013,,,,,,,,,,,,,
14555,SO68629,839.46,10/18/2013,,,,,,,,,,,,,
17563,SO71125,2397.91,11/19/2013,,,,,,,,,,,,,
12482,SO73908,49.99,12/25/2013,,,,,,,,,,,,,
12213,SO48142,2049.0982,5/9/2012,,,,,,,,,,,,,
21948,SO69945,2443.35,11/3/2013,,,,,,,,,,,,,
20215,SO45964,3578.27,10/21/2011,,,,,,,,,,,,,
25203,SO54369,1223.84,3/13/2013,,,,,,,,,,,,,
24159,SO64162,574.98,8/13/2013,,,,,,,,,,,,,
17062,SO54151,37.27,3/10/2013,,,,,,,,,,,,,
22665,SO58080,586.97,5/16/2013,,,,,,,,,,,,,
11631,SO58488,39.22,5/23/2013,,,,,,,,,,,,,
19735,SO62068,572.26,7/13/2013,,,,,,,,,,,,,
28611,SO54479,8.99,3/16/2013,,,,,,,,,,,,,
25255,SO63773,32.6,8/7/2013,,,,,,,,,,,,,
14824,SO70384,862.98,11/9/2013,,,,,,,,,,,,,
17472,SO73743,4.99,12/23/2013,,,,,,,,,,,,,
20168,SO74241,32.28,12/31/2013,,,,,,,,,,,,,
19410,SO53340,1120.49,2/25/2013,,,,,,,,,,,,,
11507,SO66786,4.99,9/21/2013,,,,,,,,,,,,,
11203,SO55743,88.98,4/6/2013,,,,,,,,,,,,,
13731,SO74961,21.98,1/23/2014,,,,,,,,,,,,,
19741,SO68493,78.98,10/16/2013,,,,,,,,,,,,,
12124,SO51441,2451.3,1/13/2013,,,,,,,,,,,,,
16827,SO63833,2363.96,8/8/2013,,,,,,,,,,,,,
26014,SO70655,1313.34,11/12/2013,,,,,,,,,,,,,
12468,SO45139,3578.27,7/12/2011,,,,,,,,,,,,,
12844,SO55004,56.97,3/25/2013,,,,,,,,,,,,,
17977,SO69732,784.47,10/31/2013,,,,,,,,,,,,,
20856,SO48240,782.99,5/24/2012,,,,,,,,,,,,,
16771,SO53703,21.98,3/1/2013,,,,,,,,,,,,,
14812,SO58872,63.97,5/29/2013,,,,,,,,,,,,,
24926,SO73817,64.97,12/24/2013,,,,,,,,,,,,,
25823,SO45439,699.0982,8/14/2011,,,,,,,,,,,,,
22211,SO58043,37.27,5/15/2013,,,,,,,,,,,,,
26640,SO64367,588.96,8/16/2013,,,,,,,,,,,,,
19201,SO51685,1120.49,1/27/2013,,,,,,,,,,,,,
20969,SO57990,38.98,5/14/2013,,,,,,,,,,,,,
20791,SO59230,9.99,6/1/2013,,,,,,,,,,,,,
20477,SO61686,68.97,7/7/2013,,,,,,,,,,,,,
21749,SO71481,1155.48,11/24/2013,,,,,,,,,,,,,
15699,SO46739,2181.5625,1/5/2012,,,,,,,,,,,,,
17630,SO52391,4.99,2/7/2013,,,,,,,,,,,,,
11417,SO69841,756.33,11/1/2013,,,,,,,,,,,,,
20866,SO73114,2374.98,12/15/2013,,,,,,,,,,,,,
19305,SO47870,1000.4375,4/18/2012,,,,,,,,,,,,,
12677,SO56751,2294.99,4/24/2013,,,,,,,,,,,,,
11519,SO69259,63.97,10/27/2013,,,,,,,,,,,,,
19647,SO73202,195.59,12/16/2013,,,,,,,,,,,,,
25641,SO51222,561.48,12/30/2012,,,,,,,,,,,,,
11000,SO57418,2507.03,5/3/2013,,,,,,,,,,,,,
22353,SO62493,39.98,7/20/2013,,,,,,,,,,,,,
18383,SO63447,13.98,8/2/2013,,,,,,,,,,,,,
20094,SO63781,13.98,8/7/2013,,,,,,,,,,,,,
11094,SO64684,127.95,8/21/2013,,,,,,,,,,,,,
22929,SO72249,2492.32,12/3/2013,,,,,,,,,,,,,
19434,SO50081,782.99,10/16/2012,,,,,,,,,,,,,
14546,SO54633,28.99,3/18/2013,,,,,,,,,,,,,
11185,SO68206,31.27,10/12/2013,,,,,,,,,,,,,
24998,SO55547,2438.06,4/2/2013,,,,,,,,,,,,,
12123,SO71214,659.44,11/20/2013,,,,,,,,,,,,,
16233,SO74670,114.46,1/14/2014,,,,,,,,,,,,,
20421,SO57714,118.97,5/9/2013,,,,,,,,,,,,,
11465,SO62085,2438.06,7/13/2013,,,,,,,,,,,,,
29279,SO68389,819.31,10/14/2013,,,,,,,,,,,,,
13929,SO75081,76.97,1/27/2014,,,,,,,,,,,,,
13735,SO48442,2181.5625,6/3/2012,,,,,,,,,,,,,
24827,SO55833,34.89,4/7/2013,,,,,,,,,,,,,
13690,SO70222,1263.82,11/6/2013,,,,,,,,,,,,,
12064,SO71734,47.94,11/28/2013,,,,,,,,,,,,,
12251,SO46435,3374.99,12/5/2011,,,,,,,,,,,,,
24244,SO50077,2443.35,10/15/2012,,,,,,,,,,,,,
21438,SO51405,561.48,1/10/2013,,,,,,,,,,,,,
15895,SO60793,61.96,6/24/2013,,,,,,,,,,,,,
25993,SO67693,1273.32,10/3/2013,,,,,,,,,,,,,
14843,SO71573,2334.97,11/26/2013,,,,,,,,,,,,,
12011,SO73178,742.35,12/15/2013,,,,,,,,,,,,,
15188,SO46802,782.99,1/12/2012,,,,,,,,,,,,,
20361,SO52742,69.99,2/14/2013,,,,,,,,,,,,,
11498,SO55158,78.98,3/28/2013,,,,,,,,,,,,,
13182,SO66862,45.95,9/22/2013,,,,,,,,,,,,,
22470,SO69943,1735.98,11/2/2013,,,,,,,,,,,,,
18468,SO44913,3578.27,6/14/2011,,,,,,,,,,,,,
15299,SO71522,7.28,11/25/2013,,,,,,,,,,,,,
22482,SO74496,39.98,1/8/2014,,,,,,,,,,,,,
24363,SO74916,13.98,1/22/2014,,,,,,,,,,,,,
22591,SO58539,567.76,5/23/2013,,,,,,,,,,,,,
12295,SO64502,49.99,8/18/2013,,,,,,,,,,,,,
16468,SO65984,63.97,9/8/2013,,,,,,,,,,,,,
19277,SO52549,39.98,2/10/2013,,,,,,,,,,,,,
16439,SO65361,24.99,8/29/2013,,,,,,,,,,,,,
27707,SO66416,561.48,9/15/2013,,,,,,,,,,,,,
16707,SO55796,799.48,4/6/2013,,,,,,,,,,,,,
23583,SO60108,1251.12,6/13/2013,,,,,,,,,,,,,
11884,SO52915,74.98,2/17/2013,,,,,,,,,,,,,
26766,SO70675,78.98,11/13/2013,,,,,,,,,,,,,
20227,SO45962,3578.27,10/21/2011,,,,,,,,,,,,,
12231,SO48580,2049.0982,6/15/2012,,,,,,,,,,,,,
24613,SO52158,1147.77,2/3/2013,,,,,,,,,,,,,
23235,SO52258,39.98,2/4/2013,,,,,,,,,,,,,
13099,SO57382,120,5/3/2013,,,,,,,,,,,,,
15833,SO57419,539.99,5/3/2013,,,,,,,,,,,,,
25617,SO64715,1249.84,8/21/2013,,,,,,,,,,,,,
15133,SO65778,2394.97,9/5/2013,,,,,,,,,,,,,
11994,SO46309,3374.99,11/25/2011,,,,,,,,,,,,,
22822,SO51226,2475.95,12/31/2012,,,,,,,,,,,,,
12142,SO46315,3578.27,11/27/2011,,,,,,,,,,,,,
12448,SO46587,3578.27,12/26/2011,,,,,,,,,,,,,
11298,SO53122,2343.96,2/21/2013,,,,,,,,,,,,,
23737,SO64080,34.98,8/12/2013,,,,,,,,,,,,,
11586,SO69362,8.99,10/28/2013,,,,,,,,,,,,,
26281,SO73166,1263.82,12/15/2013,,,,,,,,,,,,,
21067,SO50182,782.99,10/27/2012,,,,,,,,,,,,,
21581,SO52351,24.27,2/6/2013,,,,,,,,,,,,,
20041,SO56730,12.98,4/24/2013,,,,,,,,,,,,,
17996,SO67357,1754.98,9/29/2013,,,,,,,,,,,,,
15333,SO69764,848.47,10/31/2013,,,,,,,,,,,,,
26673,SO49351,782.99,8/17/2012,,,,,,,,,,,,,
11095,SO51683,2363.96,1/27/2013,,,,,,,,,,,,,
12431,SO54797,94.98,3/21/2013,,,,,,,,,,,,,
14874,SO65997,804.48,9/8/2013,,,,,,,,,,,,,
27799,SO51525,1174.48,1/18/2013,,,,,,,,,,,,,
16298,SO65562,2398.97,9/2/2013,,,,,,,,,,,,,
19938,SO66289,4.99,9/13/2013,,,,,,,,,,,,,
18228,SO67760,1709.98,10/4/2013,,,,,,,,,,,,,
23376,SO45746,3578.27,9/23/2011,,,,,,,,,,,,,
20125,SO58863,119.98,5/29/2013,,,,,,,,,,,,,
16542,SO61816,39.98,7/9/2013,,,,,,,,,,,,,
23851,SO69936,539.99,11/2/2013,,,,,,,,,,,,,
15997,SO73480,2384.07,12/19/2013,,,,,,,,,,,,,
16444,SO54204,828.47,3/11/2013,,,,,,,,,,,,,
24465,SO59461,1174.48,6/4/2013,,,,,,,,,,,,,
20773,SO72535,30.97,12/7/2013,,,,,,,,,,,,,
12093,SO74918,8.99,1/22/2014,,,,,,,,,,,,,
24450,SO54544,67.59,3/17/2013,,,,,,,,,,,,,
18025,SO64644,37.27,8/20/2013,,,,,,,,,,,,,
24156,SO67120,6.28,9/26/2013,,,,,,,,,,,,,
11807,SO56167,99.47,4/13/2013,,,,,,,,,,,,,
20545,SO64212,2542.31,8/14/2013,,,,,,,,,,,,,
25245,SO64247,58.98,8/15/2013,,,,,,,,,,,,,
20392,SO69334,133.47,10/28/2013,,,,,,,,,,,,,
13091,SO69849,2443.55,11/1/2013,,,,,,,,,,,,,
17655,SO71483,1750.98,11/24/2013,,,,,,,,,,,,,
27193,SO49906,2049.0982,9/29/2012,,,,,,,,,,,,,
16610,SO54262,32.6,3/12/2013,,,,,,,,,,,,,
15499,SO65063,2439.99,8/27/2013,,,,,,,,,,,,,
15652,SO46256,3578.27,11/17/2011,,,,,,,,,,,,,
11046,SO70651,2439.99,11/12/2013,,,,,,,,,,,,,
12071,SO46298,3578.27,11/23/2011,,,,,,,,,,,,,
12892,SO62251,141.94,7/16/2013,,,,,,,,,,,,,
24837,SO64389,587.92,8/17/2013,,,,,,,,,,,,,
14619,SO68913,39.98,10/22/2013,,,,,,,,,,,,,
26650,SO48597,2071.4196,6/16/2012,,,,,,,,,,,,,
20198,SO60113,1174.48,6/13/2013,,,,,,,,,,,,,
18160,SO73029,2393.06,12/13/2013,,,,,,,,,,,,,
18316,SO69114,7.28,10/25/2013,,,,,,,,,,,,,
15462,SO48939,2443.35,7/17/2012,,,,,,,,,,,,,
11876,SO60458,7.95,6/19/2013,,,,,,,,,,,,,
20448,SO61773,2466.32,7/8/2013,,,,,,,,,,,,,
15916,SO72425,2460.99,12/5/2013,,,,,,,,,,,,,
28661,SO44731,3578.27,5/29/2011,,,,,,,,,,,,,
15126,SO53014,58.98,2/20/2013,,,,,,,,,,,,,
15572,SO64280,21.98,8/15/2013,,,,,,,,,,,,,
28340,SO44414,3578.27,4/17/2011,,,,,,,,,,,,,
11910,SO45877,3374.99,10/9/2011,,,,,,,,,,,,,
12466,SO54698,58.98,3/19/2013,,,,,,,,,,,,,
16023,SO56073,96.92,4/12/2013,,,,,,,,,,,,,
28867,SO60973,63.97,6/27/2013,,,,,,,,,,,,,
25138,SO62457,1120.49,7/19/2013,,,,,,,,,,,,,
14071,SO63349,2319.99,7/31/2013,,,,,,,,,,,,,
13602,SO43954,3578.27,2/5/2011,,,,,,,,,,,,,
18246,SO44640,3578.27,5/12/2011,,,,,,,,,,,,,
11898,SO45691,3399.99,9/14/2011,,,,,,,,,,,,,
12807,SO51967,2413.45,1/30/2013,,,,,,,,,,,,,
28712,SO56124,2393.06,4/12/2013,,,,,,,,,,,,,
22104,SO57628,553.97,5/7/2013,,,,,,,,,,,,,
11276,SO58252,13.98,5/19/2013,,,,,,,,,,,,,
14132,SO57734,1754.98,5/9/2013,,,,,,,,,,,,,
11479,SO58581,553.97,5/24/2013,,,,,,,,,,,,,
15853,SO60986,59.98,6/27/2013,,,,,,,,,,,,,
17533,SO62942,1735.98,7/27/2013,,,,,,,,,,,,,
11882,SO61972,7.95,7/12/2013,,,,,,,,,,,,,
27890,SO66256,561.48,9/12/2013,,,,,,,,,,,,,
25440,SO74044,57.09,12/27/2013,,,,,,,,,,,,,
12160,SO46258,3578.27,11/18/2011,,,,,,,,,,,,,
28595,SO55935,49.99,4/9/2013,,,,,,,,,,,,,
13599,SO57283,14.98,5/1/2013,,,,,,,,,,,,,
29128,SO59257,771.34,6/1/2013,,,,,,,,,,,,,
13527,SO62138,2479.94,7/14/2013,,,,,,,,,,,,,
16161,SO62863,650.95,7/26/2013,,,,,,,,,,,,,
21183,SO64227,2475.95,8/14/2013,,,,,,,,,,,,,
28084,SO65819,60.47,9/6/2013,,,,,,,,,,,,,
11868,SO73277,93.49,12/17/2013,,,,,,,,,,,,,
13208,SO46692,2443.35,12/31/2011,,,,,,,,,,,,,
23559,SO52042,64.47,1/31/2013,,,,,,,,,,,,,
19191,SO59738,74.98,6/8/2013,,,,,,,,,,,,,
12074,SO68496,13.98,10/16/2013,,,,,,,,,,,,,
17053,SO66269,53.99,9/13/2013,,,,,,,,,,,,,
11467,SO68743,22.93,10/20/2013,,,,,,,,,,,,,
11056,SO52207,2413.45,2/3/2013,,,,,,,,,,,,,
13313,SO54357,76.97,3/13/2013,,,,,,,,,,,,,
20473,SO75044,14.98,1/26/2014,,,,,,,,,,,,,
28560,SO47477,2071.4196,3/3/2012,,,,,,,,,,,,,
12315,SO51510,2419.06,1/17/2013,,,,,,,,,,,,,
15697,SO57842,2461.03,5/11/2013,,,,,,,,,,,,,
15636,SO59940,78.96,6/11/2013,,,,,,,,,,,,,
25991,SO47781,2181.5625,4/6/2012,,,,,,,,,,,,,
13716,SO48553,2443.35,6/12/2012,,,,,,,,,,,,,
11953,SO52471,22.97,2/9/2013,,,,,,,,,,,,,
11277,SO53023,71.58,2/20/2013,,,,,,,,,,,,,
20442,SO58056,2482.23,5/15/2013,,,,,,,,,,,,,
11200,SO65038,68.97,8/27/2013,,,,,,,,,,,,,
27051,SO49378,2049.0982,8/20/2012,,,,,,,,,,,,,
12546,SO49978,2071.4196,10/6/2012,,,,,,,,,,,,,
22260,SO51355,563.77,1/7/2013,,,,,,,,,,,,,
11041,SO51460,2380.47,1/14/2013,,,,,,,,,,,,,
18757,SO52433,78.98,2/8/2013,,,,,,,,,,,,,
23758,SO52729,1754.98,2/14/2013,,,,,,,,,,,,,
15340,SO72208,41.59,12/3/2013,,,,,,,,,,,,,
20228,SO46020,3578.27,10/28/2011,,,,,,,,,,,,,
16828,SO48179,2443.35,5/15/2012,,,,,,,,,,,,,
16055,SO56159,66.44,4/13/2013,,,,,,,,,,,,,
11121,SO65022,35.23,8/27/2013,,,,,,,,,,,,,
27537,SO67632,2398.05,10/2/2013,,,,,,,,,,,,,
20151,SO53336,574.46,2/25/2013,,,,,,,,,,,,,
17549,SO74392,39.98,1/5/2014,,,,,,,,,,,,,
11018,SO43778,3399.99,1/17/2011,,,,,,,,,,,,,
24163,SO49950,2181.5625,10/3/2012,,,,,,,,,,,,,
14235,SO49775,2071.4196,9/23/2012,,,,,,,,,,,,,
15356,SO54007,119.98,3/7/2013,,,,,,,,,,,,,
11802,SO54413,48.98,3/14/2013,,,,,,,,,,,,,
14711,SO55115,71.97,3/27/2013,,,,,,,,,,,,,
25987,SO69078,1264.84,10/24/2013,,,,,,,,,,,,,
12586,SO47117,2071.4196,2/3/2012,,,,,,,,,,,,,
