CustomerID,SalesOrderNumber,SalesAmount,OrderDate,Quantity
15009,SO57935,36.96,5/13/2013,2
26872,SO64413,23.78,8/17/2013,1
19922,SO50933,782.99,12/13/2012,39
23486,SO45926,3578.27,10/16/2011,179
17494,SO58548,54.99,5/24/2013,3
18901,SO60183,35,6/15/2013,2
11627,SO65036,10.24,8/27/2013,1
21558,SO65857,2475.95,9/6/2013,124
27420,SO52498,69.99,2/9/2013,3
22082,SO56183,574.98,4/13/2013,29
17387,SO55195,37.27,3/29/2013,2
21665,SO56596,553.97,4/21/2013,28
29299,SO70247,548.98,11/6/2013,27
25952,SO66143,1223.84,9/10/2013,61
11219,SO69614,37.29,10/29/2013,2
28401,SO44227,3374.99,3/21/2011,169
15317,SO57716,54.98,5/9/2013,3
27856,SO67140,578.46,9/26/2013,29
20375,SO70142,2366.96,11/5/2013,118
14941,SO45149,3578.27,7/14/2011,179
27854,SO72165,750.3,12/2/2013,38
16575,SO47807,2181.5625,4/10/2012,109
19429,SO53342,1155.48,2/25/2013,58
11581,SO54503,6.28,3/16/2013,0
18932,SO58024,56.97,5/15/2013,3
14641,SO68506,35,10/16/2013,2
13102,SO55913,2386.94,4/8/2013,119
15123,SO62879,31.27,7/27/2013,2
24465,SO50770,2181.5625,11/28/2012,109
27941,SO60805,15.23,6/24/2013,1
14325,SO49784,2049.0982,9/24/2012,102
26375,SO47770,782.99,4/4/2012,39
17244,SO56546,53.99,4/21/2013,3
11999,SO63483,2334.97,8/2/2013,117
24408,SO71640,96.07,11/27/2013,5
11784,SO73275,69.97,12/17/2013,3
13146,SO58233,30.97,5/18/2013,2
26992,SO62689,583.97,7/23/2013,29
11034,SO70521,796.34,11/10/2013,40
11448,SO51197,2318.96,12/29/2012,116
24584,SO59583,30.48,6/6/2013,2
26019,SO65939,1174.48,9/7/2013,59
24139,SO70411,38.98,11/9/2013,2
18494,SO45018,3578.27,6/28/2011,179
17249,SO44195,3578.27,3/14/2011,179
28233,SO58085,21.49,5/16/2013,1
15164,SO62363,4.99,7/18/2013,0
24850,SO65890,624.97,9/7/2013,31
18256,SO66949,34.99,9/24/2013,2
14800,SO45616,3578.27,9/3/2011,179
21208,SO56913,39.98,4/28/2013,2
15560,SO57811,4.99,5/11/2013,0
27098,SO64479,68.97,8/18/2013,3
19853,SO68176,119.98,10/11/2013,6
15783,SO68957,63.97,10/23/2013,3
23836,SO71206,599.47,11/20/2013,30
16933,SO73140,39.98,12/15/2013,2
28649,SO44707,3578.27,5/24/2011,179
16935,SO61829,54.98,7/9/2013,3
20624,SO65009,2443.35,8/26/2013,122
15381,SO74492,4.99,1/8/2014,0
15346,SO47774,782.99,4/5/2012,39
26584,SO51935,33.98,1/29/2013,2
24025,SO65391,578.46,8/29/2013,29
23202,SO70041,32.28,11/4/2013,2
12415,SO71318,74.98,11/22/2013,4
24909,SO48262,1000.4375,5/26/2012,50
16205,SO49687,2181.5625,9/12/2012,109
15695,SO62097,2339.97,7/14/2013,117
19614,SO45476,3578.27,8/22/2011,179
13685,SO56485,2365.95,4/20/2013,118
14907,SO65418,127.28,8/30/2013,6
14555,SO68629,839.46,10/18/2013,42
17563,SO71125,2397.91,11/19/2013,120
12482,SO73908,49.99,12/25/2013,2
12213,SO48142,2049.0982,5/9/2012,102
21948,SO69945,2443.35,11/3/2013,122
20215,SO45964,3578.27,10/21/2011,179
25203,SO54369,1223.84,3/13/2013,61
24159,SO64162,574.98,8/13/2013,29
17062,SO54151,37.27,3/10/2013,2
22665,SO58080,586.97,5/16/2013,29
11631,SO58488,39.22,5/23/2013,2
19735,SO62068,572.26,7/13/2013,29
28611,SO54479,8.99,3/16/2013,0
25255,SO63773,32.6,8/7/2013,2
14824,SO70384,862.98,11/9/2013,43
17472,SO73743,4.99,12/23/2013,0
20168,SO74241,32.28,12/31/2013,2
19410,SO53340,1120.49,2/25/2013,56
11507,SO66786,4.99,9/21/2013,0
11203,SO55743,88.98,4/6/2013,4
13731,SO74961,21.98,1/23/2014,1
19741,SO68493,78.98,10/16/2013,4
12124,SO51441,2451.3,1/13/2013,123
16827,SO63833,2363.96,8/8/2013,118
26014,SO70655,1313.34,11/12/2013,66
12468,SO45139,3578.27,7/12/2011,179
12844,SO55004,56.97,3/25/2013,3
17977,SO69732,784.47,10/31/2013,39
20856,SO48240,782.99,5/24/2012,39
16771,SO53703,21.98,3/1/2013,1
14812,SO58872,63.97,5/29/2013,3
24926,SO73817,64.97,12/24/2013,3
25823,SO45439,699.0982,8/14/2011,35
22211,SO58043,37.27,5/15/2013,2
26640,SO64367,588.96,8/16/2013,29
19201,SO51685,1120.49,1/27/2013,56
20969,SO57990,38.98,5/14/2013,2
20791,SO59230,9.99,6/1/2013,0
20477,SO61686,68.97,7/7/2013,3
21749,SO71481,1155.48,11/24/2013,58
15699,SO46739,2181.5625,1/5/2012,109
17630,SO52391,4.99,2/7/2013,0
11417,SO69841,756.33,11/1/2013,38
20866,SO73114,2374.98,12/15/2013,119
19305,SO47870,1000.4375,4/18/2012,50
12677,SO56751,2294.99,4/24/2013,115
11519,SO69259,63.97,10/27/2013,3
19647,SO73202,195.59,12/16/2013,10
25641,SO51222,561.48,12/30/2012,28
11000,SO57418,2507.03,5/3/2013,125
22353,SO62493,39.98,7/20/2013,2
18383,SO63447,13.98,8/2/2013,1
20094,SO63781,13.98,8/7/2013,1
11094,SO64684,127.95,8/21/2013,6
22929,SO72249,2492.32,12/3/2013,125
19434,SO50081,782.99,10/16/2012,39
14546,SO54633,28.99,3/18/2013,1
11185,SO68206,31.27,10/12/2013,2
24998,SO55547,2438.06,4/2/2013,122
12123,SO71214,659.44,11/20/2013,33
16233,SO74670,114.46,1/14/2014,6
20421,SO57714,118.97,5/9/2013,6
11465,SO62085,2438.06,7/13/2013,122
29279,SO68389,819.31,10/14/2013,41
13929,SO75081,76.97,1/27/2014,4
13735,SO48442,2181.5625,6/3/2012,109
24827,SO55833,34.89,4/7/2013,2
13690,SO70222,1263.82,11/6/2013,63
12064,SO71734,47.94,11/28/2013,2
12251,SO46435,3374.99,12/5/2011,169
24244,SO50077,2443.35,10/15/2012,122
21438,SO51405,561.48,1/10/2013,28
15895,SO60793,61.96,6/24/2013,3
25993,SO67693,1273.32,10/3/2013,64
14843,SO71573,2334.97,11/26/2013,117
12011,SO73178,742.35,12/15/2013,37
15188,SO46802,782.99,1/12/2012,39
20361,SO52742,69.99,2/14/2013,3
11498,SO55158,78.98,3/28/2013,4
13182,SO66862,45.95,9/22/2013,2
22470,SO69943,1735.98,11/2/2013,87
18468,SO44913,3578.27,6/14/2011,179
15299,SO71522,7.28,11/25/2013,0
22482,SO74496,39.98,1/8/2014,2
24363,SO74916,13.98,1/22/2014,1
22591,SO58539,567.76,5/23/2013,28
12295,SO64502,49.99,8/18/2013,2
16468,SO65984,63.97,9/8/2013,3
19277,SO52549,39.98,2/10/2013,2
16439,SO65361,24.99,8/29/2013,1
27707,SO66416,561.48,9/15/2013,28
16707,SO55796,799.48,4/6/2013,40
23583,SO60108,1251.12,6/13/2013,63
11884,SO52915,74.98,2/17/2013,4
26766,SO70675,78.98,11/13/2013,4
20227,SO45962,3578.27,10/21/2011,179
12231,SO48580,2049.0982,6/15/2012,102
24613,SO52158,1147.77,2/3/2013,57
23235,SO52258,39.98,2/4/2013,2
13099,SO57382,120,5/3/2013,6
15833,SO57419,539.99,5/3/2013,27
25617,SO64715,1249.84,8/21/2013,62
15133,SO65778,2394.97,9/5/2013,120
11994,SO46309,3374.99,11/25/2011,169
22822,SO51226,2475.95,12/31/2012,124
12142,SO46315,3578.27,11/27/2011,179
12448,SO46587,3578.27,12/26/2011,179
11298,SO53122,2343.96,2/21/2013,117
23737,SO64080,34.98,8/12/2013,2
11586,SO69362,8.99,10/28/2013,0
26281,SO73166,1263.82,12/15/2013,63
21067,SO50182,782.99,10/27/2012,39
21581,SO52351,24.27,2/6/2013,1
20041,SO56730,12.98,4/24/2013,1
17996,SO67357,1754.98,9/29/2013,88
15333,SO69764,848.47,10/31/2013,42
26673,SO49351,782.99,8/17/2012,39
11095,SO51683,2363.96,1/27/2013,118
12431,SO54797,94.98,3/21/2013,5
14874,SO65997,804.48,9/8/2013,40
27799,SO51525,1174.48,1/18/2013,59
16298,SO65562,2398.97,9/2/2013,120
19938,SO66289,4.99,9/13/2013,0
18228,SO67760,1709.98,10/4/2013,85
23376,SO45746,3578.27,9/23/2011,179
20125,SO58863,119.98,5/29/2013,6
16542,SO61816,39.98,7/9/2013,2
23851,SO69936,539.99,11/2/2013,27
15997,SO73480,2384.07,12/19/2013,119
16444,SO54204,828.47,3/11/2013,41
24465,SO59461,1174.48,6/4/2013,59
20773,SO72535,30.97,12/7/2013,2
12093,SO74918,8.99,1/22/2014,0
24450,SO54544,67.59,3/17/2013,3
18025,SO64644,37.27,8/20/2013,2
24156,SO67120,6.28,9/26/2013,0
11807,SO56167,99.47,4/13/2013,5
20545,SO64212,2542.31,8/14/2013,127
25245,SO64247,58.98,8/15/2013,3
20392,SO69334,133.47,10/28/2013,7
13091,SO69849,2443.55,11/1/2013,122
17655,SO71483,1750.98,11/24/2013,88
27193,SO49906,2049.0982,9/29/2012,102
16610,SO54262,32.6,3/12/2013,2
15499,SO65063,2439.99,8/27/2013,122
15652,SO46256,3578.27,11/17/2011,179
11046,SO70651,2439.99,11/12/2013,122
12071,SO46298,3578.27,11/23/2011,179
12892,SO62251,141.94,7/16/2013,7
24837,SO64389,587.92,8/17/2013,29
14619,SO68913,39.98,10/22/2013,2
26650,SO48597,2071.4196,6/16/2012,104
20198,SO60113,1174.48,6/13/2013,59
18160,SO73029,2393.06,12/13/2013,120
18316,SO69114,7.28,10/25/2013,0
15462,SO48939,2443.35,7/17/2012,122
11876,SO60458,7.95,6/19/2013,0
20448,SO61773,2466.32,7/8/2013,123
15916,SO72425,2460.99,12/5/2013,123
28661,SO44731,3578.27,5/29/2011,179
15126,SO53014,58.98,2/20/2013,3
15572,SO64280,21.98,8/15/2013,1
28340,SO44414,3578.27,4/17/2011,179
11910,SO45877,3374.99,10/9/2011,169
12466,SO54698,58.98,3/19/2013,3
16023,SO56073,96.92,4/12/2013,5
28867,SO60973,63.97,6/27/2013,3
25138,SO62457,1120.49,7/19/2013,56
14071,SO63349,2319.99,7/31/2013,116
13602,SO43954,3578.27,2/5/2011,179
18246,SO44640,3578.27,5/12/2011,179
11898,SO45691,3399.99,9/14/2011,170
12807,SO51967,2413.45,1/30/2013,121
28712,SO56124,2393.06,4/12/2013,120
22104,SO57628,553.97,5/7/2013,28
11276,SO58252,13.98,5/19/2013,1
14132,SO57734,1754.98,5/9/2013,88
11479,SO58581,553.97,5/24/2013,28
15853,SO60986,59.98,6/27/2013,3
17533,SO62942,1735.98,7/27/2013,87
11882,SO61972,7.95,7/12/2013,0
27890,SO66256,561.48,9/12/2013,28
25440,SO74044,57.09,12/27/2013,3
12160,SO46258,3578.27,11/18/2011,179
28595,SO55935,49.99,4/9/2013,2
13599,SO57283,14.98,5/1/2013,1
29128,SO59257,771.34,6/1/2013,39
13527,SO62138,2479.94,7/14/2013,124
16161,SO62863,650.95,7/26/2013,33
21183,SO64227,2475.95,8/14/2013,124
28084,SO65819,60.47,9/6/2013,3
11868,SO73277,93.49,12/17/2013,5
13208,SO46692,2443.35,12/31/2011,122
23559,SO52042,64.47,1/31/2013,3
19191,SO59738,74.98,6/8/2013,4
12074,SO68496,13.98,10/16/2013,1
17053,SO66269,53.99,9/13/2013,3
11467,SO68743,22.93,10/20/2013,1
11056,SO52207,2413.45,2/3/2013,121
13313,SO54357,76.97,3/13/2013,4
20473,SO75044,14.98,1/26/2014,1
28560,SO47477,2071.4196,3/3/2012,104
12315,SO51510,2419.06,1/17/2013,121
15697,SO57842,2461.03,5/11/2013,123
15636,SO59940,78.96,6/11/2013,4
25991,SO47781,2181.5625,4/6/2012,109
13716,SO48553,2443.35,6/12/2012,122
11953,SO52471,22.97,2/9/2013,1
11277,SO53023,71.58,2/20/2013,4
20442,SO58056,2482.23,5/15/2013,124
11200,SO65038,68.97,8/27/2013,3
27051,SO49378,2049.0982,8/20/2012,102
12546,SO49978,2071.4196,10/6/2012,104
22260,SO51355,563.77,1/7/2013,28
11041,SO51460,2380.47,1/14/2013,119
18757,SO52433,78.98,2/8/2013,4
23758,SO52729,1754.98,2/14/2013,88
15340,SO72208,41.59,12/3/2013,2
20228,SO46020,3578.27,10/28/2011,179
16828,SO48179,2443.35,5/15/2012,122
16055,SO56159,66.44,4/13/2013,3
11121,SO65022,35.23,8/27/2013,2
27537,SO67632,2398.05,10/2/2013,120
20151,SO53336,574.46,2/25/2013,29
17549,SO74392,39.98,1/5/2014,2
11018,SO43778,3399.99,1/17/2011,170
24163,SO49950,2181.5625,10/3/2012,109
14235,SO49775,2071.4196,9/23/2012,104
15356,SO54007,119.98,3/7/2013,6
11802,SO54413,48.98,3/14/2013,2
14711,SO55115,71.97,3/27/2013,4
25987,SO69078,1264.84,10/24/2013,63
12586,SO47117,2071.4196,2/3/2012,104
13284,SO55597,2374.47,4/3/2013,119
20995,SO56684,548.98,4/23/2013,27
17172,SO63782,68.49,8/7/2013,3
15376,SO69815,78.98,11/1/2013,4
25945,SO69941,548.98,11/2/2013,27
16412,SO56445,2478.24,4/19/2013,124
11351,SO44889,3374.99,6/12/2011,169
18341,SO74604,67.93,1/12/2014,3
22782,SO62623,567.76,7/22/2013,28
14834,SO72652,819.48,12/9/2013,41
23518,SO74119,4.99,12/28/2013,0
11504,SO57254,2.29,5/1/2013,0
20625,SO63869,2451.3,8/8/2013,123
23457,SO65895,69.97,9/7/2013,3
23142,SO66310,556.93,9/13/2013,28
17168,SO59782,4.99,6/9/2013,0
16934,SO67048,26.97,9/25/2013,1
28070,SO43986,3578.27,2/11/2011,179
20452,SO46300,3578.27,11/23/2011,179
14531,SO53269,118.96,2/24/2013,6
26469,SO53887,64.97,3/5/2013,3
17569,SO53370,64.47,2/26/2013,3
20001,SO56755,1155.48,4/24/2013,58
11530,SO60974,6.28,6/27/2013,0
21686,SO62417,9.99,7/19/2013,0
23802,SO72209,32.6,12/3/2013,2
13633,SO72848,2384.07,12/11/2013,119
12917,SO46547,3578.27,12/21/2011,179
20630,SO69797,74.98,11/1/2013,4
12632,SO57251,2475.95,5/1/2013,124
12368,SO71664,34.99,11/27/2013,2
23122,SO63063,13.98,7/30/2013,1
26822,SO71468,2442.03,11/24/2013,122
22873,SO62573,539.99,7/21/2013,27
26396,SO74747,118.96,1/16/2014,6
13974,SO48948,2071.4196,7/18/2012,104
13945,SO54451,56.97,3/15/2013,3
12372,SO55748,7.28,4/6/2013,0
12565,SO67816,93.46,10/5/2013,5
20878,SO68733,1155.48,10/19/2013,58
21633,SO54900,64.98,3/23/2013,3
25619,SO65435,1273.83,8/30/2013,64
25246,SO70381,27.77,11/9/2013,1
15194,SO46852,782.99,1/18/2012,39
25999,SO48686,2181.5625,6/25/2012,109
11091,SO52420,53.99,2/8/2013,3
12957,SO58053,35,5/15/2013,2
12544,SO73613,8.99,12/21/2013,0
18742,SO74558,2.29,1/11/2014,0
14716,SO47793,2443.35,4/9/2012,122
17853,SO62906,29.98,7/27/2013,1
28784,SO73580,43.98,12/21/2013,2
12112,SO46314,3578.27,11/27/2011,179
24675,SO53867,2419.06,3/4/2013,121
11938,SO53980,7.95,3/7/2013,0
21291,SO73490,1735.98,12/19/2013,87
14428,SO53132,2413.06,2/21/2013,121
25366,SO54520,1243.84,3/16/2013,62
23147,SO70772,157.27,11/14/2013,8
11349,SO74649,67.97,1/13/2014,3
15954,SO50966,782.99,12/16/2012,39
11632,SO61675,63.97,7/7/2013,3
15868,SO75122,30.97,1/28/2014,2
13495,SO54913,42.97,3/23/2013,2
16193,SO56822,85.48,4/26/2013,4
24579,SO73214,38.98,12/16/2013,2
19091,SO74257,21.98,1/1/2014,1
28989,SO44971,3578.27,6/21/2011,179
25292,SO57975,158.88,5/14/2013,8
25034,SO60552,1164.47,6/20/2013,58
17804,SO60992,73.96,6/27/2013,4
13833,SO71046,106.96,11/18/2013,5
14627,SO61132,7.28,6/29/2013,0
24975,SO68648,67.93,10/18/2013,3
24496,SO46425,3578.27,12/4/2011,179
24561,SO52392,3.99,2/7/2013,0
27746,SO53441,628.97,2/27/2013,31
25284,SO59260,2419.06,6/1/2013,121
18883,SO69694,56.97,10/30/2013,3
11044,SO70074,2329.99,11/4/2013,116
27578,SO43762,3578.27,1/14/2011,179
12584,SO47174,2071.4196,2/10/2012,104
15481,SO48915,782.99,7/14/2012,39
26095,SO64089,15.23,8/12/2013,1
13000,SO47798,2071.4196,4/9/2012,104
25238,SO59586,7.28,6/6/2013,0
11200,SO64255,27.28,8/15/2013,1
23900,SO64783,539.99,8/22/2013,27
25708,SO44986,699.0982,6/23/2011,35
26952,SO60162,751.34,6/14/2013,38
15428,SO72696,848.47,12/9/2013,42
11245,SO51178,2334.97,12/28/2012,117
17333,SO63012,8.99,7/29/2013,0
15801,SO71677,2332.28,11/27/2013,117
13540,SO43975,3578.27,2/9/2011,179
17186,SO61516,7.28,7/4/2013,0
20637,SO57868,9.99,5/12/2013,0
29088,SO63752,756.33,8/6/2013,38
17586,SO67835,1750.98,10/5/2013,88
25277,SO68418,96.07,10/15/2013,5
23990,SO70371,548.98,11/8/2013,27
12475,SO49607,2071.4196,9/3/2012,104
20574,SO56988,38.98,4/29/2013,2
20147,SO60485,37.97,6/19/2013,2
11656,SO66183,74.98,9/11/2013,4
19391,SO66978,42.93,9/24/2013,2
14326,SO68341,765.32,10/13/2013,38
25036,SO49555,1000.4375,8/28/2012,50
15792,SO50819,2071.4196,12/3/2012,104
12099,SO70100,8.99,11/5/2013,0
11787,SO70126,74.98,11/5/2013,4
11124,SO44595,3399.99,5/5/2011,170
28392,SO52254,23.78,2/4/2013,1
18496,SO54586,2543.44,3/18/2013,127
23650,SO58712,39.98,5/27/2013,2
21971,SO61975,32.28,7/12/2013,2
29218,SO65407,37.97,8/30/2013,2
15902,SO50392,782.99,11/2/2012,39
24713,SO53432,7.28,2/27/2013,0
28928,SO55224,2473.05,3/29/2013,124
12667,SO56950,2344.96,4/28/2013,117
23819,SO62011,1223.84,7/12/2013,61
11300,SO64195,21.49,8/14/2013,1
13319,SO47105,2181.5625,2/2/2012,109
11673,SO53818,137.96,3/3/2013,7
13939,SO54131,902.46,3/9/2013,45
14598,SO59384,2445.94,6/3/2013,122
13509,SO58166,33.98,5/17/2013,2
19971,SO60238,2478.34,6/15/2013,124
24632,SO61087,2483.03,6/28/2013,124
19012,SO64024,119.98,8/11/2013,6
26502,SO65691,27.28,9/4/2013,1
15237,SO68740,31.27,10/20/2013,2
16155,SO71074,2440.47,11/18/2013,122
12817,SO46301,3578.27,11/24/2011,179
29117,SO59345,9.99,6/3/2013,0
20804,SO62655,24.99,7/23/2013,1
12023,SO67683,2354.99,10/3/2013,118
17391,SO75012,4.99,1/25/2014,0
20206,SO46742,2049.0982,1/5/2012,102
13479,SO64821,75.97,8/23/2013,4
16678,SO65000,2419.96,8/26/2013,121
15752,SO50879,2071.4196,12/8/2012,104
14166,SO52749,71.97,2/14/2013,4
15226,SO68605,2319.99,10/17/2013,116
12403,SO71175,67.27,11/20/2013,3
15354,SO45617,3578.27,9/3/2011,179
17964,SO52467,1214.85,2/8/2013,61
16515,SO54587,1155.48,3/18/2013,58
28106,SO56234,12.94,4/15/2013,1
23811,SO69151,548.98,10/25/2013,27
14236,SO69242,1268.84,10/26/2013,63
26062,SO58205,49.48,5/18/2013,2
13658,SO60734,2344.26,6/23/2013,117
13720,SO66313,1155.48,9/13/2013,58
18019,SO71630,2309.97,11/27/2013,115
13760,SO74313,68.97,1/3/2014,3
14769,SO45623,3578.27,9/4/2011,179
22817,SO72968,2400.93,12/13/2013,120
14083,SO47535,1000.4375,3/12/2012,50
21963,SO57482,39.99,5/5/2013,2
11594,SO64420,88.98,8/17/2013,4
28223,SO44410,3578.27,4/16/2011,179
21994,SO47752,2181.5625,4/1/2012,109
11392,SO55212,28.99,3/29/2013,1
23060,SO59161,126.93,5/31/2013,6
22379,SO69699,27.77,10/30/2013,1
11039,SO43966,3399.99,2/7/2011,170
22999,SO63413,553.97,8/1/2013,28
23201,SO64135,29.99,8/13/2013,1
18401,SO69289,2294.99,10/27/2013,115
17323,SO54826,8.99,3/22/2013,0
13528,SO64598,2459.62,8/19/2013,123
12830,SO74040,2337.27,12/27/2013,117
22995,SO45503,3578.27,8/26/2011,179
27089,SO49815,2049.0982,9/27/2012,102
26631,SO66753,742.35,9/20/2013,37
20913,SO50377,782.99,11/1/2012,39
14124,SO56915,32.6,4/28/2013,2
12181,SO46416,3578.27,12/3/2011,179
20242,SO60102,2490.18,6/13/2013,125
13005,SO64245,64.97,8/15/2013,3
11808,SO56293,94.48,4/16/2013,5
20633,SO67715,68.97,10/4/2013,3
28066,SO71477,2419.06,11/24/2013,121
16258,SO73453,63.97,12/19/2013,3
20134,SO75055,148.98,1/26/2014,7
18846,SO74318,132.97,1/3/2014,7
14344,SO56431,63.97,4/19/2013,3
17762,SO57701,1754.98,5/9/2013,88
14270,SO57826,793.76,5/11/2013,40
19473,SO59267,1134.47,6/1/2013,57
13104,SO48530,2071.4196,6/10/2012,104
13521,SO48664,2071.4196,6/22/2012,104
28780,SO60048,7.95,6/13/2013,0
11106,SO60242,2384.07,6/15/2013,119
29238,SO66550,819.83,9/17/2013,41
11778,SO46000,3578.27,10/27/2011,179
23553,SO64981,4.99,8/26/2013,0
11692,SO74792,53.99,1/18/2014,3
13541,SO44068,3578.27,2/28/2011,179
15102,SO71533,36.27,11/25/2013,2
13292,SO47247,2181.5625,2/18/2012,109
16633,SO62479,71.58,7/20/2013,4
15256,SO70990,848.47,11/17/2013,42
28154,SO44211,3578.27,3/18/2011,179
21889,SO47525,2181.5625,3/10/2012,109
11113,SO52072,49.97,2/1/2013,2
18123,SO53799,4.99,3/3/2013,0
11425,SO61734,574.98,7/8/2013,29
16285,SO74741,76.94,1/16/2014,4
15648,SO50335,2071.4196,10/28/2012,104
29130,SO52348,7.28,2/6/2013,0
19969,SO59585,30.48,6/6/2013,2
11211,SO67652,63.97,10/3/2013,3
28680,SO69036,31.27,10/24/2013,2
11215,SO69670,2.29,10/30/2013,0
19703,SO52937,69.99,2/18/2013,3
29203,SO61589,756.33,7/5/2013,38
21108,SO66162,819.48,9/11/2013,41
24327,SO73928,548.98,12/25/2013,27
